Year,Rk,Player,Team,Age,GP,W,L,Min,Pts_Off_TO,second_pts,FBPS,PITP,OPP_PTs_off_TO,OPP_sec_pts,OPP_FBPS,OPP_PITP,BLK,BLKA,PF,PFD
2018,42,Nick Young,GSW,33,80,56,24,17.4,1,0.6,1.4,1.1,7,4.6,5.1,17.5,0.1,0.1,1.3,0.9
2018,42,Russell Westbrook,OKC,29,80,47,33,36.4,5.2,3,5.5,11.3,11.2,9.3,9,33.5,0.3,1.1,2.5,5.8
2018,42,JR Smith,CLE,32,80,49,31,28.1,1.1,0.6,0.9,1.3,10,7.6,6.9,28.5,0.1,0.1,2,0.9
2018,42,Terry Rozier,BOS,24,80,54,26,25.9,2,1.3,1.7,2.9,8,6.1,5.5,23.2,0.2,0.5,1.5,1.8
2018,42,Spencer Dinwiddie,BKN,25,80,28,52,28.8,1.6,1.2,0.8,4,9.4,7.8,6.6,28.1,0.3,0.7,2.3,2.8
2018,59,Gorgui Dieng,MIN,28,79,45,34,16.9,1,1,0.5,2.1,5.6,4.6,4.7,16.5,0.5,0.4,1.9,1.2
2018,59,Anthony Tolliver,DET,33,79,37,42,22.2,1.3,0.8,1,1.4,6.3,4.8,4.3,19,0.3,0.2,1.8,1.5
2018,59,Paul George,OKC,28,79,47,32,36.6,3.4,1.8,2.6,5.8,11.1,9.7,8.8,33.4,0.5,0.8,2.9,4.1
2018,59,Lou Williams,LAC,31,79,42,37,32.8,2.8,1.4,2.6,7,12.2,9.8,10.7,32.2,0.2,1,1.3,4.6
2018,59,Jusuf Nurkic,POR,23,79,48,31,26.4,1.8,2.6,0.5,10.4,8.2,6.6,6.4,23.7,1.4,0.8,3.1,3.5
2018,59,Frank Kaminsky,CHA,25,79,35,44,23.2,1.6,1,0.7,4.2,6.4,4.7,4.7,22.1,0.2,0.5,1.2,1.8
2018,59,Evan Turner,POR,29,79,48,31,25.7,1.1,1,0.6,3,8.1,6.4,6.4,23.5,0.4,0.2,2.1,1.5
2018,59,Donovan Mitchell,UTA,21,79,46,33,33.4,3.1,1.9,2.4,8.5,11.7,7.6,6.9,29.2,0.3,1,2.7,3.3
2018,59,Dwight Powell,DAL,26,79,23,56,21.2,0.9,1.5,0.4,5.4,6.3,4.8,6.2,17.9,0.4,0.3,2.4,2.7
2018,59,Troy Daniels,PHX,26,79,20,59,20.5,0.9,0.8,0.8,0.7,8.4,5.6,5.6,20.3,0.1,0.2,1.7,0.7
2018,69,Carmelo Anthony,OKC,34,78,46,32,32.1,2.5,2.5,1.8,3.1,9.7,7.8,8,29.7,0.6,0.7,2.5,2
2018,69,Ed Davis,POR,29,78,48,30,18.9,0.7,2.1,0.2,4.3,5.4,4.7,3.8,15.8,0.7,0.4,2.4,1.5
2018,69,Andre Drummond,DET,24,78,37,41,33.7,2.2,5.3,1.2,11.7,11.1,8.2,7.6,31.4,1.6,0.8,3.2,4.3
2018,69,Jeff Green,CLE,31,78,47,31,23.4,1.8,1.1,1.4,5.3,7.6,6.7,5,22.3,0.4,0.5,1.9,2.4
2018,69,Kyle Lowry,TOR,32,78,57,21,32.2,2.1,1.3,2.8,3.5,10.2,8.6,8.1,30,0.2,0.5,2.5,3.9
2018,69,Joe Harris,BKN,26,78,27,51,25.3,1.4,1.2,1.2,3.7,9.4,6.7,6,24.4,0.3,0.6,2,1.2
2018,69,Bogdan Bogdanovic,SAC,25,78,26,52,27.9,1.9,0.7,1.1,3.3,9.1,6.5,7.1,24.7,0.2,0.4,2.2,1.6
2018,69,Frank Ntilikina,NYK,19,78,28,50,21.9,0.9,0.4,0.4,1.8,7.9,5.8,4.3,18.6,0.2,0.3,2.3,0.9
2018,69,Dario Saric,PHI,24,78,49,29,29.6,2.3,1.9,1.2,5.2,11.2,7.1,6.3,25.4,0.3,0.7,2.1,2.2
2018,69,Marvin Williams,CHA,32,78,33,45,25.7,1.2,1.2,1,3,8.6,6.1,5.9,23.9,0.5,0.3,1.5,1.3
2018,79,Ian Mahinmi,WAS,31,77,42,35,14.9,0.5,1.6,0.1,3.5,5.5,4.2,3.1,13,0.5,0.3,3,1.5
2018,79,Harrison Barnes,DAL,26,77,24,53,34.2,2.5,1.3,1,7.5,10.1,8.1,10,31.2,0.2,0.7,1.2,3.1
2018,79,Kyle Kuzma,LAL,22,77,34,43,31.2,2.3,1.9,2.6,6.9,11.6,9,8.1,31.9,0.4,0.7,2.1,2.1
2018,79,Dirk Nowitzki,DAL,40,77,24,53,24.7,1.2,1.3,0.6,1.4,7,5.6,8.4,21.5,0.6,0.1,1.9,1.5
2018,79,Jodie Meeks,WAS,30,77,41,36,14.5,1.2,0.5,0.9,1.6,5.2,4,3.2,13.8,0.1,0.3,0.7,1
2018,79,Josh Jackson,PHX,21,77,19,58,25.4,2.2,1.4,2.8,6.9,9.9,7.4,8.1,25.6,0.5,1.1,2.8,2.9
2018,79,Wayne Ellington,MIA,30,77,42,35,26.5,1.8,0.7,1.2,1,8.3,6.3,5.3,23,0.1,0.2,1.2,0.8
2018,79,Derrick Favors,UTA,26,77,46,31,28,1.8,2.5,0.7,8.6,9.8,6,5.9,24.9,1.1,0.5,2.1,2.3
2018,79,Denzel Valentine,CHI,24,77,26,51,27.2,1.6,0.6,2.1,2.9,9.4,6.1,6.4,24.5,0.1,0.4,2.4,0.6
2018,79,Otto Porter Jr.,WAS,25,77,42,35,31.6,2.6,2.1,1.9,4.5,10.6,7.9,6.7,29.6,0.5,0.2,2,1.5
2018,79,Jonas Valanciunas,TOR,26,77,56,21,22.4,0.9,2.7,0.2,8.6,7.3,6.1,6.2,21.2,0.9,0.6,2.5,2.4
2018,79,Ricky Rubio,UTA,27,77,44,33,29.3,1.9,0.8,1.1,3.3,10,6.7,5.7,25.5,0.1,0.6,2.7,3.3
2018,79,Kyle O'Quinn,NYK,28,77,28,49,18,1,1.6,0.3,4.6,6.6,4.8,3.6,14.9,1.3,0.5,2.5,1.5
2018,79,DeAndre Jordan,LAC,29,77,39,38,31.5,1.7,4,1.3,9.7,11.3,8.2,10.4,29,0.9,0.4,2.6,3.8
2018,79,Pau Gasol,SAS,37,77,45,32,23.5,1.5,1.7,0.5,4.8,7.3,6,6.4,21.3,1,0.5,1.6,2.5
2018,79,Davis Bertans,SAS,25,77,43,34,14.1,1.1,0.4,0.9,1.4,4.5,3.8,3.3,12.7,0.4,0.1,1.2,0.7
2018,95,Serge Ibaka,TOR,28,76,53,23,27.5,1.6,1.5,1.2,4.6,8.7,7.4,7.3,26.3,1.3,0.4,2.8,1.3
2018,95,Mike Scott,WAS,29,76,39,37,18.5,1.3,0.9,0.4,3.2,6.5,5,4.3,16.7,0.1,0.2,1.9,1
2018,95,Fred VanVleet,TOR,24,76,55,21,20,1.5,0.6,1.3,3.1,5.4,5.6,3.8,17.8,0.3,0.6,1.7,1.5
2018,95,Kelly Olynyk,MIA,27,76,42,34,23.4,1.7,1.5,0.7,4.7,7.1,5.4,4.9,21,0.5,0.5,2.9,2.9
2018,95,Courtney Lee,NYK,32,76,27,49,30.4,2.3,0.8,1.7,3.6,11.3,8.4,7.9,28.1,0.2,0.4,1.4,1
2018,95,John Henson,MIL,27,76,39,37,25.9,1.1,1.8,0.4,7,8.2,6.8,4.7,25.3,1.4,0.4,2.7,2
2018,95,Steven Adams,OKC,24,76,43,33,32.7,1.8,4.1,1.3,11.7,9.8,8.4,8.1,29.6,1,0.6,2.8,3.7
2018,95,T.J. McConnell,PHI,26,76,50,26,22.4,0.8,0.5,0.7,3.5,9.6,6.3,5,20.1,0.2,0.4,1.6,0.6
2018,95,Montrezl Harrell,LAC,24,76,39,37,17,1.8,1.7,2.2,8.9,6.1,5,5,15.8,0.7,0.5,1.9,2.4
2018,104,Giannis Antetokounmpo,MIL,23,75,39,36,36.8,4.1,3,4.7,15.7,11.3,9.5,7,34.4,1.4,1.1,3.1,6.8
2018,104,Alex Abrines,OKC,24,75,42,33,15.1,0.8,0.6,0.7,0.8,4.3,4.3,3.2,13.5,0.1,0.1,1.7,0.7
2018,104,Victor Oladipo,IND,26,75,48,27,34,4.7,1.5,4.3,8.6,10.5,9.4,8.5,30.2,0.8,1.2,2.3,4.2
2018,104,Tony Snell,MIL,26,75,42,33,27.4,1.5,0.6,0.9,1.6,9.5,7.3,5.7,27.7,0.4,0.2,1.5,0.5
2018,104,Goran Dragic,MIA,32,75,39,36,31.7,3.2,1.1,2.4,7.6,10.3,7.7,7.9,29.5,0.2,0.7,2.4,3.4
2018,104,Mario Hezonja,ORL,23,75,21,54,22.1,1.6,0.6,1.7,3.9,8.1,6.4,5.7,21.7,0.4,0.4,1.8,1.2
2018,104,LaMarcus Aldridge,SAS,32,75,45,30,33.4,3.3,4.6,0.8,11.3,9.6,8.1,8.4,29,1.2,0.6,2.1,4.6
2018,104,D.J. Augustin,ORL,30,75,23,52,23.5,1.4,0.6,1.1,2.9,8.1,5.8,7.1,23.6,0,0.6,1.3,2.5
2018,104,Anthony Davis,NOP,25,75,45,30,36.4,4.2,4.5,3.6,15.4,12.2,10.6,10.9,34.8,2.6,0.6,2.1,7.4
2018,104,Nikola Jokic,DEN,23,75,43,32,32.6,2,3.1,0.8,8.1,12.3,6.9,8.4,30.7,0.8,0.6,2.8,5.1
2018,104,Allen Crabbe,BKN,26,75,25,50,29.3,2,1.2,1.1,2.5,9.6,8.4,6.9,29.6,0.5,0.3,2.2,1.3
2018,115,Michael Beasley,NYK,29,74,24,50,22.3,1.5,1.5,0.8,8,8.1,6.1,5.4,20.6,0.6,0.6,2,1.8
2018,115,Jonas Jerebko,UTA,31,74,45,29,15.3,1.2,0.8,0.7,2.2,5.1,3.4,2.6,13.6,0.2,0.2,1.7,0.8
2018,115,Domantas Sabonis,IND,22,74,45,29,24.5,1.8,1.7,0.8,7.5,8.3,6.3,6.3,22.4,0.4,0.6,3,2.9
2018,115,Clint Capela,HOU,24,74,62,12,27.5,1.9,2.6,1,11.8,8.7,6.5,7.1,29.3,1.9,0.9,2.5,2.9
2018,115,John Collins,ATL,20,74,21,53,24.1,2.1,2.1,1,7.5,8.9,6.4,6.7,21.4,1.1,0.6,2.9,2.5
2018,115,Kyle Anderson,SAS,24,74,41,33,26.7,1.2,1.4,0.9,4.8,8.6,6.6,7.2,25.2,0.8,0.4,1.5,1.6
2018,115,Brook Lopez,LAL,30,74,34,40,23.4,1.1,1.6,0.8,6.2,8.6,6.7,6.6,23.8,1.3,0.3,2.6,2.2
2018,115,Wesley Johnson,LAC,30,74,38,36,20.1,0.9,0.6,0.6,1.1,7.7,5.4,6.3,18.4,0.8,0.1,2,0.6
2018,115,Thon Maker,MIL,21,74,40,34,16.7,1,0.6,0.3,1.8,5.3,5.1,3.6,16.6,0.7,0.3,2.2,1.1
2018,115,Mason Plumlee,DEN,28,74,40,34,19.5,1.1,1.3,0.6,5.8,8,5,5.3,18.5,1.1,0.4,2.5,2.1
2018,115,Eric Bledsoe,MIL,28,74,40,34,31.4,3.8,1.2,3.1,7.2,10.2,9.2,6.8,30.4,0.6,0.6,2.5,4.1
2018,115,Jerian Grant,CHI,25,74,24,50,22.8,0.8,0.5,0.8,2.3,8,5.3,5.4,20.5,0.1,0.2,1.8,2.4
2018,115,OG Anunoby,TOR,20,74,51,23,20,1.1,0.7,0.9,2.4,6.5,5.2,5.6,20.3,0.2,0.3,1.8,0.7
2018,115,Kentavious Caldwell-Pope,LAL,25,74,31,43,33.2,2.5,1.3,3,3.4,11.9,9.2,8.9,34.3,0.2,0.3,2,2.1
2018,115,Ian Clark,NOP,27,74,43,31,19.7,1,0.3,1.2,3.1,7.3,5.9,5.4,20.3,0.1,0.4,1.6,0.7
2018,115,Amir Johnson,PHI,31,74,47,27,15.8,0.6,1.1,0.2,3.4,6.6,3.6,3.7,14.2,0.6,0.4,2.6,1
2018,115,Michael Kidd-Gilchrist,CHA,24,74,34,40,25,1.7,1,1.4,5.6,8.1,5.4,5.8,24.1,0.4,0.7,1.9,1.9
2018,115,Shabazz Napier,POR,26,74,46,28,20.7,1.3,0.7,0.9,1.9,6.3,5.2,4.3,18.1,0.2,0.4,1.1,2
2018,115,Wilson Chandler,DEN,31,74,41,33,31.7,1.7,1.3,1.1,4.6,12,7.3,9.1,31,0.5,0.3,2.1,1.4
2018,134,Jarell Martin,MEM,24,73,21,52,22.8,1.6,1.4,1.3,3.8,8,5.6,6.2,19.2,0.7,0.5,2.9,1.3
2018,134,Trey Lyles,DEN,22,73,41,32,19.1,1.4,1.1,0.6,4.5,7,3.6,4.6,18.3,0.5,0.3,1.5,1.7
2018,134,Willie Cauley-Stein,SAC,24,73,23,50,28,1.8,1.5,1.2,8.9,9.8,5.9,7.7,23.9,0.9,0.9,2.5,2.8
2018,134,James Johnson,MIA,31,73,37,36,26.6,1.7,0.8,0.6,6,8.8,7.1,5.5,24,0.7,0.4,2.6,1.7
2018,134,Luke Kennard,DET,22,73,34,39,20,1.3,0.7,0.7,1.8,6.2,4.5,3.4,17.7,0.2,0.3,1.2,0.9
2018,134,Bobby Portis,CHI,23,73,25,48,22.5,2.1,2.4,1,6.1,7.1,5.5,5.1,20.3,0.3,0.8,1.8,2
2018,134,Kyle Korver,CLE,37,73,43,30,21.6,1.4,0.7,0.7,0.8,6.7,5.8,4.4,19.6,0.4,0.2,1.8,1
2018,134,Lance Thomas,NYK,30,73,25,48,18.5,0.6,0.5,0.4,1,7.2,4.7,4.7,16.7,0.2,0.2,1.8,0.9
2018,134,Dante Cunningham,BKN,31,73,34,39,21.4,0.9,1,0.7,2.5,7.9,5.7,6.6,21.8,0.4,0.3,1.5,0.7
2018,134,Damian Lillard,POR,27,73,44,29,36.6,3.4,2,2.2,7.7,11.3,8.9,8.7,32.7,0.4,1.2,1.6,5.4
2018,134,Semi Ojeleye,BOS,23,73,50,23,15.8,0.5,0.3,0.3,0.6,5.4,3.6,2.9,15.1,0.1,0.1,1.2,0.5
2018,134,David West,GSW,37,73,52,21,13.7,0.8,1.1,0.5,4,5,4.1,3.4,13,1,0.2,1.6,1.1
2018,134,Klay Thompson,GSW,28,73,55,18,34.3,2.5,1.3,3.8,4.1,12.9,9.9,10.4,33.1,0.5,0.4,1.6,1.7
2018,134,Sindarius Thornwell,LAC,23,73,36,37,15.8,0.9,0.3,0.8,1.8,6,4.5,4.8,14.2,0.3,0.5,1.7,1
2018,134,Tomas Satoransky,WAS,26,73,39,34,22.5,1.2,0.9,1.1,3.3,8.3,5.6,4.6,21.4,0.2,0.3,1.8,1.5
2018,134,Marc Gasol,MEM,33,73,21,52,33,2.3,1.6,0.5,5.5,11.5,7.3,10.3,28.1,1.4,0.6,2.5,4.7
2018,134,Sam Dekker,LAC,24,73,36,37,12.1,0.7,0.6,1,3.2,4.2,3.1,4.2,11.4,0.1,0.2,1,0.6
2018,134,Markieff Morris,WAS,28,73,37,36,27,1.2,1.2,0.7,4.4,9.7,7.2,6.1,26.2,0.5,0.4,3,1.7
2018,134,De'Aaron Fox,SAC,20,73,24,49,27.7,1.9,0.6,2.2,5.4,9.4,7,7.7,25.2,0.3,0.9,2.2,2.7
2018,134,DeMarre Carroll,BKN,31,73,25,48,29.9,1.9,1.9,1.9,4.5,9.8,8.8,7.1,29.5,0.4,0.8,2.3,2.5
2018,154,Maxi Kleber,DAL,26,72,20,52,16.8,0.7,0.6,0.3,2.7,4.3,3.8,5,15.1,0.7,0.2,1.6,0.9
2018,154,Corey Brewer,OKC,32,72,32,40,16.8,1.2,0.7,1.4,2.9,6.3,4.8,4.9,16.9,0.2,0.3,1.9,1.3
2018,154,Justin Holiday,CHI,29,72,24,48,31.5,1.9,0.8,1.2,2.1,9.8,7.1,7.9,28.1,0.4,0.4,1.9,1.7
2018,154,Tyler Johnson,MIA,26,72,39,33,28.5,1.9,0.8,1.3,3.8,9,6.7,6.6,26.3,0.5,0.5,2.1,1.8
2018,154,James Ennis III,DET,27,72,25,47,22.3,1.8,1.2,1.6,3.1,7.6,5.5,5.7,20.6,0.3,0.3,1.9,1.3
2018,154,James Harden,HOU,28,72,59,13,35.4,4.7,2,2,9.3,11.9,8.8,9.2,35.7,0.7,1.4,2.3,7
2018,154,Jarrett Allen,BKN,20,72,25,47,20,1.1,1.6,0.4,6.2,7,6.3,4.4,20.1,1.2,0.5,2,1.5
2018,154,Al Horford,BOS,32,72,47,25,31.6,1.8,1.1,0.5,5.7,9.9,7.2,6.8,28,1.1,0.4,1.9,1.9
2018,154,Marquese Chriss,PHX,20,72,19,53,21.2,1.1,1.2,0.9,3.5,9,5.9,6.3,21.6,1,0.6,2.8,1.8
2018,163,Kosta Koufos,SAC,29,71,22,49,19.6,0.7,1.5,0.2,6.1,5.3,5,4.2,16.9,0.5,0.3,2.1,1.3
2018,163,Shaun Livingston,GSW,32,71,49,22,15.9,1,0.3,1.1,2.9,5.9,4.6,4.3,14.6,0.3,0.2,1.6,0.7
2018,163,Enes Kanter,NYK,26,71,27,44,25.8,1.7,4.6,0.7,11.1,9.7,6.5,7.4,24.8,0.5,1,2.6,2.5
2018,163,Tyler Ulis,PHX,22,71,20,51,23.4,0.9,0.5,0.7,2.6,9,6.3,7.1,22.6,0.1,0.6,1.7,1.4
2018,163,Devin Harris,DEN,35,71,33,38,18.9,1.2,0.4,1.3,2.8,6.6,4.9,5.5,16.5,0.2,0.3,2.2,2.4
2018,163,Caris LeVert,BKN,23,71,25,46,26.2,2.3,1.2,2,5.9,9.5,7.7,6.2,25.2,0.3,0.7,2.2,2.6
2018,169,Danny Green,SAS,31,70,40,30,25.6,1.5,0.9,1.2,2,7.6,5.8,6.5,22.8,1.1,0.2,1.7,1
2018,169,David Nwaba,CHI,25,70,26,44,23.5,1.5,1.4,1.7,5.2,7.9,6,5.2,22.6,0.4,0.7,2.3,2.1
2018,169,JJ Redick,PHI,34,70,45,25,30.2,2.6,1.7,2.2,1.9,11.7,7.5,6.1,25.6,0.1,0.4,1.8,2.4
2018,169,Draymond Green,GSW,28,70,48,22,32.7,1.8,1,2.1,5.4,13,9.2,9.3,30.9,1.3,0.5,2.6,2.5
2018,169,Quincy Acy,BKN,27,70,26,44,19.4,0.8,0.4,0.3,0.6,6.9,5.4,4.2,16.9,0.4,0.2,2.1,1.2
2018,169,Norman Powell,TOR,25,70,51,19,15.2,1.1,0.5,1,2.5,5.4,4.5,3.1,14.4,0.2,0.3,1.6,0.7
2018,169,Jeff Teague,MIN,30,70,41,29,33,2.4,0.6,1.4,6.3,10.3,8.8,9.7,30.4,0.3,0.7,2.4,3.3
2018,169,Jaylen Brown,BOS,21,70,47,23,30.7,2.9,1.7,2,6.2,9.4,6.9,6,27.3,0.4,0.8,2.6,2.9
2018,169,CJ Miles,TOR,31,70,50,20,19.1,1.4,1,0.7,1.5,5.4,5.7,4.2,17.9,0.3,0.3,1.9,1.1
2018,178,Stanley Johnson,DET,22,69,33,36,27.4,1.4,0.9,1.7,3,8,6.5,5.8,23.7,0.2,0.5,2.4,1.6
2018,178,Dennis Smith Jr.,DAL,20,69,22,47,29.7,2.7,1.1,2.7,6.8,8.8,6.9,9,27,0.3,1.5,2.2,2.6
2018,178,Alex Len,PHX,25,69,20,49,20.2,1,2.4,0.2,5.9,7.7,5.5,5.6,19.2,0.9,0.6,2.3,2.7
2018,178,Bam Adebayo,MIA,20,69,34,35,19.8,0.8,1.4,0.5,4.7,6.9,4.5,4.4,17.7,0.6,0.4,2,2.5
